Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,49:00.6,-89.869732,-7.552354,0.334023,,,
stop1_ori,"""stop on point 1""",0,49:00.7,-89.904658,-7.503849,0.315763,,,
stop1_ori,"""stop on point 1""",0,49:00.8,-89.884286,-7.490109,0.299058,,,
stop1_ori,"""stop on point 1""",0,49:00.9,-89.889195,-7.490877,0.265246,,,
stop1_ori,"""stop on point 1""",0,49:01.0,-89.861855,-7.492226,0.226794,,,
stop1_ori,"""stop on point 1""",0,49:01.1,-89.942368,-7.459196,0.228053,,,
stop1_ori,"""stop on point 1""",0,49:01.2,-89.98563,-7.464548,0.257709,,,
stop1_ori,"""stop on point 1""",0,49:01.3,-89.966267,-7.499121,0.252115,,,
stop1_ori,"""stop on point 1""",0,49:01.4,-89.945877,-7.482901,0.22373,,,
stop1_ori,"""stop on point 1""",0,49:01.5,-89.957942,-7.50438,0.215692,,,
stop1_ori,"""stop on point 1""",0,49:01.6,-89.992703,-7.455547,0.238705,,,
stop1_ori,"""stop on point 1""",0,49:01.7,-89.962681,-7.435917,0.235065,,,
stop1_ori,"""stop on point 1""",0,49:01.8,-89.951368,-7.36058,0.278192,,,
stop1_ori,"""stop on point 1""",0,49:01.9,-89.962583,-7.279939,0.331437,,,
stop1_ori,"""stop on point 1""",0,49:02.0,-89.907447,-7.310744,0.319762,,,
stop1_ori,"""stop on point 1""",0,49:02.1,-89.906727,-7.315798,0.344546,,,
stop1_ori,"""stop on point 1""",0,49:02.2,-89.908319,-7.284945,0.396513,,,
stop1_ori,"""stop on point 1""",0,49:02.3,-89.923308,-7.274303,0.409808,,,
stop1_ori,"""stop on point 1""",0,49:02.4,-89.947368,-7.27036,0.420697,,,
stop1_ori,"""stop on point 1""",0,49:02.5,-89.984989,-7.299996,0.409873,,,
stop1_ori,"""stop on point 1""",0,49:02.6,-89.992688,-7.303703,0.388422,,,
stop1_ori,"""stop on point 1""",0,49:02.7,-89.972166,-7.310605,0.359745,,,
stop1_ori,"""stop on point 1""",0,49:02.8,-89.944184,-7.294821,0.365158,,,
stop1_ori,"""stop on point 1""",0,49:02.9,-89.927036,-7.315389,0.364753,,,
stop1_ori,"""stop on point 1""",0,49:03.0,-89.888722,-7.360332,0.355865,,,
stop1_ori,"""stop on point 1""",0,49:03.1,-89.891375,-7.417548,0.356556,,,
stop1_ori,"""stop on point 1""",0,49:03.2,-89.89368,-7.430693,0.389909,,,
stop1_ori,"""stop on point 1""",0,49:03.3,-89.92632,-7.431619,0.366197,,,
stop1_ori,"""stop on point 1""",0,49:03.4,-89.941463,-7.452543,0.365693,,,
stop1_ori,"""stop on point 1""",0,49:03.5,-89.99239,-7.430269,0.339424,,,
stop1_ori,"""stop on point 1""",0,49:03.6,-89.944364,-8.195897,0.703662,,,
stop1_ori,"""stop on point 1""",0,49:20.9,-90.000041,-7.39327,-0.000641,,,
stop1_ori,"""stop on point 1""",0,49:21.0,-89.940437,-7.433529,-0.00012,,,
stop1_ori,"""stop on point 1""",0,49:21.1,-89.862774,-7.45676,-0.042715,,,
stop1_ori,"""stop on point 1""",0,49:21.2,-89.831807,-7.485078,-0.024378,,,
stop1_ori,"""stop on point 1""",0,49:21.3,-89.795243,-7.540825,-0.061663,,,
stop1_ori,"""stop on point 1""",0,49:21.4,-89.839874,-7.526572,-0.043587,,,
stop1_ori,"""stop on point 1""",0,49:21.5,-89.857197,-7.536272,-0.06971,,,
stop1_ori,"""stop on point 1""",0,49:21.6,-89.873499,-7.533438,-0.043048,,,
stop1_ori,"""stop on point 1""",0,49:21.7,-89.807424,-7.552598,-0.092758,,,
stop1_ori,"""stop on point 1""",0,49:21.8,-89.806164,-7.571454,-0.134084,,,
stop1_ori,"""stop on point 1""",0,49:21.9,-89.78761,-7.589171,-0.114521,,,
stop1_ori,"""stop on point 1""",0,49:22.0,-89.811768,-7.599246,-0.122597,,,
stop1_ori,"""stop on point 1""",0,49:22.1,-89.846803,-7.602342,-0.101966,,,
stop1_ori,"""stop on point 1""",0,49:22.2,-89.851322,-7.623317,-0.118406,,,
